"Case_Id","Sample_Type","Eligibility_Concerns","Eligibility_Outcome","Validation_Study_Outcome","Did_Vote","Political_Party","Voting_Level_Difficulty_Code"
200893,2,0,-2,-2,-1,"Democrat",1
200909,2,0,4,3,4,"Democrat",1
200916,2,0,-2,-2,4,"Republican",1
200985,2,0,-2,-2,4,"Democrat",2
201001,2,0,-2,-2,4,"Republican",1
201025,2,0,-2,-2,4,"Democrat",1
201032,2,1,1,1,4,"Republican",1
201063,2,0,-2,-2,4,"Republican",1
201070,2,0,-2,-2,4,"Democrat",1
201094,2,0,-2,-2,4,"Democrat",1
201100,2,0,-2,-2,4,"Democrat",1
201124,2,0,-2,-2,4,"Democrat",1
201155,2,0,1,1,4,"Republican",1
201186,2,0,-2,-2,4,"Republican",1
201193,2,0,-2,-2,4,"Republican",1
201209,2,0,-2,-2,4,"Democrat",2
201223,2,0,-2,-2,4,"Republican",1
201230,2,0,-2,-2,4,"Democrat",1
201247,2,0,-2,-2,4,"Democrat",1
201254,2,0,-2,-2,4,"Democrat",1
201292,2,0,1,1,4,"Democrat",1
201322,2,0,-2,-2,4,"Republican",1
201339,2,1,1,1,4,"Republican",1
201346,2,0,-2,-2,4,"Democrat",1
201353,2,0,-2,-2,4,"Republican",1
201360,2,0,-2,-2,4,"Republican",1
201377,2,0,4,3,4,"Republican",1
201384,2,0,-2,-2,4,"Republican",4
201391,2,0,-2,-2,-1,"Republican",1
201407,2,0,3,2,4,"Republican",1
201421,2,0,-2,-2,4,"Democrat",1
201438,2,0,-2,-2,4,"Republican",1
201445,2,0,-2,-2,-1,"Republican",4
201469,2,0,-2,-2,4,"Republican",2
201476,2,0,-2,-2,4,"Democrat",1
201506,2,1,4,3,4,"Republican",1
201513,2,0,-2,-2,4,"Democrat",1
201520,2,0,-2,-2,-1,"Republican",1
201537,2,0,-2,-2,4,"Republican",1
201544,2,0,-2,-2,-1,"Democrat",1
201605,2,0,-2,-2,4,"Democrat",1
201629,2,0,-2,-2,4,"Republican",1
201636,2,0,-2,-2,4,"Democrat",1
201674,2,0,-2,-2,4,"Democrat",2
201681,2,0,-2,-2,4,"Republican",1
201711,2,0,-2,-2,4,"Republican",1
201728,2,0,-2,-2,4,"Republican",1
201773,2,0,-2,-2,4,"Republican",1
201780,2,0,-2,-2,4,"Republican",1
201803,2,0,-2,-2,4,"Democrat",1
201827,2,0,-2,-2,4,"Democrat",1
201834,2,1,1,1,4,"Democrat",1
201841,2,0,-2,-2,4,"Democrat",1
201858,2,0,-2,-2,4,"Democrat",1
201872,2,0,-2,-2,4,"Democrat",1
201896,2,0,-2,-2,4,"Democrat",1
201902,2,0,-2,-2,4,"Democrat",1
201919,2,0,4,3,4,"Republican",1
201971,2,0,-2,-2,4,"Republican",1
201995,2,1,1,1,4,"Republican",1
202011,2,0,-2,-2,4,"Republican",1
202042,2,0,-2,-2,4,"Democrat",1
202097,2,0,-2,-2,4,"Republican",1
202127,2,0,4,3,4,"Republican",1
202141,2,0,-2,-2,4,"Republican",1
202172,2,0,-2,-2,-1,"Democrat",1
202189,2,0,-2,-2,4,"Democrat",1
202202,2,0,-2,-2,4,"Democrat",1
202257,2,0,-2,-2,4,"Republican",1
202271,2,0,-2,-2,-1,"Democrat",1
202301,2,0,-2,-2,4,"Democrat",1
202318,2,0,4,3,4,"Republican",1
202325,2,0,-2,-2,-1,"Democrat",1
202332,2,0,-2,-2,4,"Democrat",1
202363,2,0,-2,-2,4,"Democrat",1
202417,2,0,-2,-2,4,"Republican",1
202431,2,0,-2,-2,4,"Republican",1
202455,2,0,-2,-2,4,"Republican",1
202462,2,0,-2,-2,4,"Republican",1
202479,2,0,-2,-2,4,"Republican",1
202486,2,0,-2,-2,4,"Democrat",1
202493,2,0,-2,-2,4,"Democrat",1
202516,2,0,-2,-2,4,"Democrat",1
202530,2,0,-2,-2,4,"Democrat",1
202547,2,0,-2,-2,4,"Democrat",1
202578,2,1,1,1,4,"Republican",1
202608,2,1,4,3,4,"Democrat",1
202622,2,1,1,1,4,"Republican",1
202639,2,0,-2,-2,4,"Democrat",1
202646,2,0,-2,-2,4,"Democrat",1
202653,2,0,-2,-2,-1,"Republican",1
202660,2,0,-2,-2,4,"Republican",5
202691,2,0,1,1,4,"Republican",1
202752,2,0,-2,-2,4,"Democrat",1
202769,2,0,-2,-2,-1,"Democrat",1
202783,2,0,-2,-2,4,"Republican",1
202790,2,0,-2,-2,4,"Republican",1
202806,2,0,-2,-2,4,"Democrat",1
202813,2,0,-2,-2,4,"Democrat",1
202820,2,0,1,1,4,"Republican",1
202837,2,0,-2,-2,4,"Republican",1
202875,2,0,-2,-2,4,"Republican",1
202899,2,0,-2,-2,4,"Republican",1
202905,2,0,-2,-2,4,"Republican",1
202936,2,0,-2,-2,4,"Republican",1
202943,2,1,1,5,4,"Democrat",1
202950,2,0,-2,-2,4,"Republican",1
202967,2,0,-2,-2,4,"Democrat",1
203007,2,0,-2,-2,4,"Republican",1
203014,2,0,-2,-2,4,"Democrat",1
203021,2,0,-2,-2,4,"Democrat",1
203038,2,0,-2,-2,4,"Republican",1
203045,2,0,-2,-2,4,"Republican",1
203069,2,0,-2,-2,4,"Democrat",1
203090,2,0,-2,-2,4,"Democrat",1
203106,2,0,-2,-2,4,"Democrat",1
203137,2,0,-2,-2,4,"Republican",1
203144,2,0,-2,-2,4,"Democrat",1
203199,2,0,-2,-2,4,"Democrat",1
203229,2,0,-2,-2,4,"Republican",1
203243,2,0,-2,-2,4,"Republican",1
203267,2,0,-2,-2,4,"Democrat",1
203281,2,0,-2,-2,-1,"Democrat",1
203298,2,1,4,3,4,"Democrat",1
203311,2,0,-2,-2,4,"Democrat",1
203328,2,0,-2,-2,4,"Democrat",2
203359,2,0,-2,-2,4,"Republican",1
203366,2,0,-2,-2,4,"Republican",2
203380,2,0,-2,-2,4,"Republican",1
203397,2,0,1,1,4,"Democrat",1
203410,2,0,-2,-2,4,"Democrat",1
203427,2,0,-2,-2,4,"Democrat",1
203434,2,0,-2,-2,4,"Republican",1
203441,2,0,-2,-2,4,"Democrat",1
203458,2,0,-2,-2,4,"Democrat",4
203489,2,0,-2,-2,4,"Republican",1
203496,2,1,1,5,4,"Democrat",1
203502,2,1,1,1,4,"Republican",1
203519,2,0,1,1,4,"Republican",1
203526,2,0,4,3,4,"Democrat",1
203533,2,0,-2,-2,4,"Democrat",1
203540,2,0,-2,-2,4,"Republican",1
203557,2,0,-2,-2,4,"Democrat",1
203588,2,0,-2,-2,4,"Republican",1
203649,2,0,-2,-2,4,"Democrat",2
203687,2,0,-2,-2,4,"Republican",1
203700,2,0,-2,-2,4,"Republican",1
203724,2,0,-2,-2,4,"Republican",1
203731,2,0,-2,-2,4,"Republican",4
203762,2,0,-2,-2,4,"Democrat",1
203779,2,0,-2,-2,4,"Democrat",1
203786,2,0,-2,-2,4,"Democrat",1
203793,2,0,-2,-2,4,"Republican",1
203823,2,0,-2,-2,4,"Democrat",1
203854,2,0,-2,-2,4,"Republican",1
203946,2,0,-2,-2,4,"Democrat",1
203953,2,0,-2,-2,4,"Democrat",1
203977,2,0,1,1,4,"Democrat",1
203984,2,0,-2,-2,4,"Democrat",2
204000,2,0,-2,-2,4,"Republican",1
204031,2,0,-2,-2,4,"Republican",1
204048,2,0,-2,-2,4,"Democrat",1
204062,2,0,-2,-2,4,"Republican",1
204086,2,0,-2,-2,4,"Republican",1
204109,2,0,-2,-2,4,"Democrat",1
204123,2,0,-2,-2,4,"Democrat",1
204130,2,0,-2,-2,4,"Republican",1
204147,2,0,1,1,4,"Democrat",1
204154,2,0,-2,-2,4,"Democrat",1
204161,2,0,-2,-2,4,"Democrat",1
204178,2,0,-2,-2,4,"Democrat",1
204185,2,0,-2,-2,4,"Republican",1
204192,2,0,-2,-2,4,"Republican",1
204208,2,0,-2,-2,4,"Republican",1
204222,2,0,4,3,4,"Democrat",1
204246,2,0,-2,-2,4,"Republican",1
204253,2,0,-2,-2,4,"Republican",1
204260,2,0,-2,-2,4,"Democrat",1
204277,2,0,1,1,4,"Democrat",1
204284,2,0,-2,-2,4,"Democrat",1
204291,2,0,-2,-2,4,"Democrat",1
204307,2,0,-2,-2,4,"Republican",1
204338,2,0,-2,-2,4,"Democrat",1
204345,2,0,-2,-2,4,"Democrat",1
204352,2,0,-2,-2,-1,"Republican",1
204376,2,0,-2,-2,4,"Republican",1
204383,2,0,-2,-2,4,"Republican",1
204390,2,1,1,1,4,"Democrat",1
204413,2,0,-2,-2,4,"Republican",1
204437,2,1,4,3,4,"Republican",1
204475,2,0,-2,-2,4,"Democrat",1
204482,2,0,-2,-2,-1,"Republican",1
204505,2,0,-2,-2,4,"Republican",1
204512,2,0,-2,-2,4,"Democrat",1
204529,2,0,-2,-2,4,"Democrat",1
204536,2,0,1,1,4,"Republican",1
204543,2,0,-2,-2,4,"Democrat",1
204550,2,2,1,5,4,"Democrat",1
204574,2,0,-2,-2,4,"Republican",1
204598,2,0,-2,-2,4,"Democrat",2
204611,2,0,-2,-2,4,"Republican",1
204628,2,0,-2,-2,4,"Democrat",1
204642,2,0,-2,-2,4,"Democrat",1
204697,2,0,-2,-2,4,"Republican",4
204703,2,0,-2,-2,4,"Republican",1
204727,2,0,-2,-2,4,"Democrat",1
204734,2,0,-2,-2,4,"Republican",1
204765,2,0,-2,-2,4,"Democrat",1
204789,2,0,-2,-2,4,"Republican",3
204796,2,0,-2,-2,4,"Democrat",1
204819,2,1,4,3,4,"Republican",1
204833,2,0,-2,-2,4,"Republican",1
204857,2,0,-2,-2,4,"Democrat",1
204864,2,1,4,3,4,"Republican",2
204888,2,0,-2,-2,4,"Democrat",1
204901,2,0,-2,-2,4,"Republican",1
204918,2,0,-2,-2,4,"Democrat",1
204925,2,0,-2,-2,-1,"Republican",1
204932,2,0,-2,-2,4,"Republican",1
204949,2,0,-2,-2,4,"Democrat",2
204987,2,0,-2,-2,4,"Republican",3
204994,2,0,-2,-2,4,"Democrat",2
205010,2,0,4,3,4,"Republican",1
205034,2,1,1,1,4,"Democrat",1
205041,2,0,-2,-2,4,"Democrat",1
205058,2,0,-2,-2,4,"Republican",2
205065,2,0,-2,-2,4,"Democrat",1
205072,2,0,-2,-2,4,"Democrat",1
205089,2,0,-2,-2,4,"Democrat",1
205102,2,0,-2,-2,4,"Republican",1
205119,2,0,-2,-2,4,"Democrat",1
205133,2,0,-2,-2,4,"Democrat",1
205140,2,0,-2,-2,-1,"Democrat",1
205171,2,0,-2,-2,4,"Democrat",1
205188,2,0,-2,-2,4,"Democrat",1
205195,2,0,-2,-2,4,"Democrat",1
205201,2,0,-2,-2,4,"Democrat",2
205218,2,0,-2,-2,4,"Republican",1
205256,2,0,-2,-2,4,"Republican",1
205287,2,0,-2,-2,4,"Democrat",1
205294,2,0,-2,-2,4,"Democrat",1
205300,2,1,1,1,4,"Democrat",1
205317,2,1,1,1,4,"Democrat",1
205324,2,0,-2,-2,4,"Republican",1
205348,2,0,-2,-2,-1,"Republican",1
205362,2,0,-2,-2,4,"Democrat",1
205379,2,0,-2,-2,4,"Democrat",1
205393,2,0,-2,-2,4,"Democrat",3
205409,2,0,-2,-2,4,"Democrat",1
205416,2,0,-2,-2,4,"Republican",1
205430,2,0,-2,-2,-1,"Democrat",1
205447,2,0,-2,-2,4,"Republican",1
205461,2,0,-2,-2,4,"Republican",1
205478,2,0,-2,-2,4,"Republican",1
205492,2,0,-2,-2,-1,"Democrat",1
205508,2,0,-2,-2,4,"Democrat",3
205522,2,0,-2,-2,4,"Democrat",1
205539,2,1,1,1,4,"Republican",1
205546,2,0,-2,-2,4,"Democrat",1
205560,2,0,4,3,4,"Republican",1
205577,2,0,-2,-2,4,"Democrat",2
205614,2,0,-2,-2,4,"Republican",1
205621,2,0,-2,-2,4,"Democrat",1
205638,2,0,-2,-2,-1,"Democrat",1
205645,2,0,-2,-2,4,"Democrat",1
205669,2,0,-2,-2,4,"Democrat",1
205683,2,0,-2,-2,4,"Democrat",1
205706,2,0,-2,-2,4,"Republican",1
205737,2,0,-2,-2,4,"Republican",1
205744,2,0,-2,-2,4,"Democrat",1
205775,2,0,-2,-2,4,"Republican",1
205782,2,0,-2,-2,4,"Republican",1
205799,2,0,4,3,4,"Democrat",1
205812,2,0,-2,-2,4,"Republican",1
205829,2,0,-2,-2,4,"Democrat",1
205836,2,0,-2,-2,4,"Republican",1
205850,2,1,1,5,4,"Republican",1
205874,2,1,1,1,4,"Democrat",1
205881,2,0,4,3,4,"Republican",1
205898,2,0,-2,-2,4,"Democrat",1
205928,2,0,-2,-2,4,"Republican",1
205959,2,0,-2,-2,4,"Democrat",1
205973,2,0,-2,-2,4,"Republican",1
206013,2,0,-2,-2,4,"Democrat",1
206037,2,0,-2,-2,4,"Republican",2
206044,2,1,1,1,4,"Republican",1
206068,2,0,-2,-2,4,"Republican",1
206105,2,0,-2,-2,-1,"Republican",1
206129,2,1,4,3,4,"Democrat",2
206136,2,0,-2,-2,4,"Democrat",1
206174,2,0,-2,-2,4,"Republican",2
206181,2,0,-2,-2,4,"Republican",1
206204,2,0,1,1,4,"Democrat",1
206228,2,0,-2,-2,4,"Democrat",1
206235,2,0,-2,-2,4,"Democrat",1
206242,2,0,-2,-2,4,"Republican",1
206266,2,0,-2,-2,4,"Democrat",1
206273,2,0,4,3,-1,"Democrat",1
206280,2,0,-2,-2,4,"Republican",1
206341,2,0,4,3,4,"Republican",1
206358,2,0,-2,-2,4,"Republican",1
206365,2,0,-2,-2,4,"Democrat",1
206372,2,0,-2,-2,4,"Democrat",1
206389,2,1,1,1,4,"Republican",1
206396,2,0,-2,-2,4,"Democrat",1
206402,2,0,-2,-2,4,"Democrat",1
206426,2,0,-2,-2,4,"Democrat",1
206433,2,0,-2,-2,4,"Republican",1
206440,2,0,-2,-2,4,"Republican",1
206457,2,0,-2,-2,4,"Republican",1
206464,2,0,-2,-2,4,"Democrat",1
206471,2,0,-2,-2,4,"Republican",1
206488,2,0,-2,-2,4,"Republican",1
206501,2,0,-2,-2,4,"Republican",1
206518,2,0,-2,-2,-1,"Republican",2
206525,2,0,-2,-2,4,"Republican",2
206587,2,0,-2,-2,4,"Democrat",2
206594,2,0,-2,-2,4,"Democrat",1
206600,2,0,-2,-2,4,"Republican",1
206631,2,0,-2,-2,4,"Democrat",1
206648,2,0,-2,-2,4,"Democrat",1
206679,2,0,-2,-2,4,"Democrat",1
206686,2,0,-2,-2,4,"Republican",2
206709,2,0,-2,-2,4,"Democrat",1
206716,2,1,1,1,4,"Democrat",1
206730,2,0,-2,-2,4,"Republican",2
206747,2,0,-2,-2,4,"Republican",1
206754,2,1,1,1,4,"Republican",1
206778,2,0,-2,-2,4,"Democrat",1
206792,2,0,-2,-2,4,"Republican",1
206815,2,0,-2,-2,4,"Republican",1
206822,2,0,4,3,4,"Republican",1
206839,2,1,4,3,4,"Democrat",1
206853,2,1,4,3,4,"Democrat",1
206860,2,0,-2,-2,4,"Democrat",1
206877,2,0,-2,-2,4,"Republican",1
206884,2,0,4,3,4,"Democrat",1
206907,2,0,-2,-2,4,"Republican",1
206914,2,0,-2,-2,4,"Republican",1
206921,2,0,4,3,4,"Republican",2
206938,2,0,-2,-2,4,"Republican",1
206983,2,0,-2,-2,4,"Democrat",1
206990,2,0,-2,-2,4,"Republican",1
207030,2,0,-2,-2,4,"Republican",1
207047,2,0,-2,-2,4,"Republican",1
207061,2,0,-2,-2,4,"Republican",1
207078,2,1,1,1,4,"Democrat",1
207092,2,0,-2,-2,4,"Republican",1
207108,2,0,-2,-2,4,"Democrat",1
207115,2,0,-2,-2,4,"Democrat",1
207122,2,0,-2,-2,4,"Democrat",2
207139,2,0,1,1,4,"Democrat",1
207153,2,0,-2,-2,4,"Republican",1
207160,2,0,-2,-2,4,"Republican",1
207184,2,0,-2,-2,4,"Republican",1
207191,2,0,4,3,4,"Republican",1
207214,2,0,-2,-2,4,"Democrat",1
207221,2,0,-2,-2,4,"Democrat",1
207238,2,0,-2,-2,4,"Republican",1
207245,2,0,-2,-2,4,"Democrat",1
207252,2,0,-2,-2,4,"Republican",2
207276,2,0,-2,-2,4,"Republican",1
207290,2,0,-2,-2,4,"Republican",1
207313,2,0,-2,-2,4,"Democrat",1
207320,2,0,-2,-2,4,"Democrat",1
207337,2,0,-2,-2,4,"Republican",1
207344,2,0,-2,-2,4,"Democrat",1
207368,2,1,1,1,4,"Republican",1
207375,2,0,-2,-2,4,"Democrat",1
207399,2,1,4,3,-1,"Democrat",1
207405,2,0,-2,-2,4,"Democrat",1
207436,2,0,-2,-2,4,"Democrat",1
207450,2,1,4,3,4,"Democrat",1
207467,2,0,4,3,4,"Republican",1
207474,2,0,4,3,4,"Democrat",1
207481,2,0,-2,-2,4,"Democrat",1
207528,2,0,-2,-2,4,"Republican",1
207559,2,0,-2,-2,4,"Democrat",1
207566,2,0,-2,-2,4,"Democrat",1
207603,2,1,1,1,4,"Republican",1
207627,2,0,-2,-2,4,"Democrat",1
207634,2,1,1,1,-1,"Democrat",1
207665,2,0,-2,-2,4,"Republican",2
207672,2,0,-2,-2,4,"Republican",1
207689,2,0,-2,-2,4,"Democrat",1
207696,2,0,-2,-2,4,"Republican",1
207702,2,0,4,3,4,"Republican",1
207719,2,0,-2,-2,4,"Democrat",1
207726,2,0,-2,-2,4,"Democrat",1
207740,2,0,-2,-2,4,"Democrat",1
207757,2,0,-2,-2,4,"Democrat",1
207771,2,0,-2,-2,4,"Democrat",1
207788,2,0,-2,-2,-1,"Republican",1
207795,2,0,-2,-2,4,"Democrat",1
207818,2,1,4,3,4,"Democrat",1
207825,2,0,-2,-2,4,"Republican",1
207832,2,0,-2,-2,4,"Republican",1
207849,2,0,-2,-2,4,"Republican",1
207856,2,0,-2,-2,4,"Republican",1
207870,2,0,-2,-2,4,"Republican",1
207887,2,0,-2,-2,4,"Democrat",1
207894,2,0,-2,-2,4,"Democrat",1
207900,2,0,1,1,4,"Republican",1
207924,2,0,-2,-2,4,"Republican",1
207931,2,0,-2,-2,4,"Democrat",3
207955,2,0,-2,-2,4,"Democrat",1
207979,2,0,-2,-2,4,"Democrat",1
207986,2,0,-2,-2,4,"Democrat",1
208019,2,0,-2,-2,4,"Democrat",1
208026,2,0,4,3,-1,"Democrat",1
208033,2,0,1,1,4,"Republican",1
208040,2,0,-2,-2,4,"Democrat",1
208057,2,0,-2,-2,4,"Republican",2
208088,2,0,-2,-2,4,"Democrat",1
208132,2,0,-2,-2,4,"Democrat",1
208149,2,0,-2,-2,4,"Republican",1
208156,2,0,-2,-2,4,"Democrat",1
208163,2,0,-2,-2,4,"Democrat",1
208170,2,0,-2,-2,4,"Democrat",1
208187,2,0,-2,-2,4,"Democrat",1
208194,2,0,-2,-2,4,"Republican",1
208200,2,1,1,1,4,"Democrat",3
208217,2,0,-2,-2,4,"Republican",1
208262,2,0,-2,-2,4,"Republican",1
208279,2,0,-2,-2,4,"Republican",1
208293,2,0,-2,-2,4,"Democrat",1
208309,2,1,1,1,4,"Democrat",1
208316,2,0,-2,-2,4,"Republican",1
208323,2,0,-2,-2,4,"Republican",2
208330,2,0,-2,-2,4,"Democrat",1
208347,2,0,-2,-2,4,"Democrat",1
208361,2,0,-2,-2,4,"Democrat",1
208378,2,0,-2,-2,4,"Democrat",1
208385,2,0,-2,-2,4,"Democrat",1
208408,2,0,-2,-2,4,"Republican",1
208415,2,0,-2,-2,-1,"Republican",1
208422,2,0,-2,-2,4,"Republican",2
208439,2,0,-2,-2,4,"Republican",1
208453,2,0,-2,-2,4,"Republican",1
208484,2,0,-2,-2,4,"Republican",1
208514,2,0,-2,-2,4,"Republican",1
208521,2,1,1,1,4,"Democrat",2
208545,2,1,1,1,4,"Democrat",2
208576,2,0,-2,-2,4,"Republican",1
208583,2,0,-2,-2,4,"Democrat",1
208651,2,1,1,1,4,"Democrat",1
208668,2,0,4,3,4,"Republican",1
208675,2,0,-2,-2,4,"Republican",1
208682,2,0,-2,-2,4,"Republican",1
208712,2,0,-2,-2,4,"Republican",1
208750,2,0,-2,-2,-1,"Republican",1
208767,2,0,-2,-2,4,"Republican",2
208774,2,0,-2,-2,-1,"Democrat",1
208781,2,1,4,3,4,"Democrat",1
208798,2,1,4,3,4,"Republican",2
208811,2,0,-2,-2,4,"Democrat",1
208866,2,0,-2,-2,4,"Republican",1
208873,2,1,1,1,4,"Democrat",1
208880,2,0,-2,-2,4,"Republican",1
208903,2,0,-2,-2,4,"Democrat",1
208934,2,0,-2,-2,4,"Democrat",1
208941,2,0,-2,-2,4,"Republican",1
208965,2,0,-2,-2,4,"Democrat",1
208972,2,0,-2,-2,4,"Republican",1
208989,2,0,-2,-2,4,"Democrat",1
208996,2,0,-2,-2,-1,"Republican",1
209012,2,0,-2,-2,4,"Democrat",1
209036,2,0,-2,-2,4,"Republican",1
209043,2,0,-2,-2,4,"Republican",1
209050,2,0,-2,-2,4,"Democrat",1
209067,2,1,1,1,4,"Democrat",1
209074,2,0,4,3,-1,"Democrat",1
209081,2,0,-2,-2,4,"Republican",1
209111,2,0,-2,-2,4,"Republican",1
209128,2,0,-2,-2,4,"Democrat",1
209135,2,0,-2,-2,4,"Democrat",1
209142,2,0,-2,-2,4,"Democrat",1
209173,2,0,-2,-2,4,"Republican",1
209180,2,0,-2,-2,4,"Democrat",1
209197,2,0,-2,-2,4,"Republican",1
209203,2,0,-2,-2,4,"Republican",1
209210,2,1,1,1,4,"Republican",1
209234,2,0,-2,-2,4,"Democrat",1
209258,2,0,-2,-2,4,"Republican",1
209296,2,0,-2,-2,4,"Republican",1
209319,2,0,1,1,4,"Democrat",1
209333,2,0,-2,-2,4,"Republican",2
209340,2,0,-2,-2,4,"Republican",1
209357,2,0,1,1,4,"Democrat",1
209364,2,1,4,3,4,"Republican",1
209388,2,0,-2,-2,4,"Republican",1
209432,2,1,1,1,4,"Republican",1
209449,2,0,-2,-2,4,"Republican",1
209456,2,0,-2,-2,4,"Democrat",1
209470,2,0,-2,-2,4,"Republican",1
209494,2,0,-2,-2,-1,"Democrat",1
209500,2,0,1,1,4,"Democrat",1
209517,2,0,-2,-2,4,"Republican",1
209524,2,0,-2,-2,4,"Democrat",1
209531,2,0,-2,-2,4,"Republican",1
209555,2,0,-2,-2,4,"Democrat",1
209562,2,0,-2,-2,4,"Republican",3
209579,2,0,-2,-2,4,"Republican",1
209586,2,0,-2,-2,4,"Republican",1
209593,2,0,-2,-2,4,"Republican",1
209623,2,1,1,1,4,"Republican",1
209630,2,0,-2,-2,4,"Republican",1
209647,2,0,-2,-2,4,"Democrat",1
209654,2,0,-2,-2,4,"Democrat",2
209678,2,1,1,1,-1,"Democrat",1
209685,2,0,-2,-2,4,"Democrat",1
209692,2,0,-2,-2,-1,"Democrat",1
209708,2,0,-2,-2,4,"Republican",1
209753,2,0,-2,-2,4,"Republican",1
209760,2,0,-2,-2,4,"Republican",1
209777,2,0,-2,-2,4,"Democrat",1
209784,2,0,-2,-2,4,"Republican",1
209807,2,0,-2,-2,4,"Democrat",1
209883,2,0,-2,-2,4,"Democrat",2
209906,2,1,4,3,4,"Republican",1
209913,2,0,-2,-2,4,"Democrat",2
209920,2,0,-2,-2,4,"Democrat",1
209937,2,0,-2,-2,4,"Democrat",4
209944,2,0,-2,-2,4,"Republican",1
209951,2,1,1,1,4,"Republican",1
209968,2,0,-2,-2,4,"Democrat",3
209975,2,0,-2,-2,4,"Democrat",1
210012,2,0,-2,-2,4,"Republican",1
210036,2,0,1,1,4,"Democrat",2
210043,2,1,4,3,4,"Democrat",1
210050,2,0,4,3,-1,"Republican",1
210067,2,0,-2,-2,-1,"Democrat",1
210111,2,0,-2,-2,4,"Democrat",1
210128,2,0,-2,-2,4,"Republican",1
210135,2,0,-2,-2,4,"Republican",1
210142,2,0,-2,-2,4,"Democrat",1
210159,2,1,4,3,4,"Democrat",1
210166,2,0,-2,-2,4,"Democrat",1
210180,2,0,-2,-2,4,"Republican",1
210203,2,1,4,3,4,"Democrat",1
210227,2,0,4,3,4,"Republican",1
210234,2,0,-2,-2,4,"Democrat",1
210258,2,0,-2,-2,4,"Democrat",1
210265,2,0,-2,-2,4,"Republican",1
210272,2,0,-2,-2,4,"Republican",1
210289,2,0,-2,-2,4,"Republican",1
210296,2,1,1,1,4,"Republican",1
210302,2,2,1,1,4,"Democrat",1
210319,2,0,-2,-2,4,"Republican",1
210326,2,0,-2,-2,4,"Republican",1
210333,2,0,-2,-2,4,"Democrat",1
210340,2,2,4,3,4,"Republican",1
210357,2,0,4,3,4,"Democrat",1
210395,2,0,-2,-2,4,"Republican",1
210401,2,0,-2,-2,4,"Democrat",1
210418,2,0,1,1,4,"Democrat",1
210432,2,0,4,3,4,"Republican",1
210449,2,0,-2,-2,4,"Republican",1
210456,2,0,-2,-2,4,"Democrat",1
210463,2,0,-2,-2,4,"Democrat",1
210494,2,0,-2,-2,4,"Republican",1
210500,2,0,-2,-2,4,"Democrat",1
210555,2,0,-2,-2,4,"Democrat",1
210579,2,0,-2,-2,4,"Democrat",1
210593,2,0,-2,-2,4,"Democrat",1
210616,2,0,-2,-2,4,"Democrat",1
210623,2,1,4,3,4,"Republican",3
210630,2,0,-2,-2,4,"Republican",1
